time,open,high,low,close,Volume,Volume MA,RSI,Plot,Tops,Bottoms,Bearish Divergence2,Bullish Divergence2,Bullish Divergence2,Bearish Divergence2,Bearish Divergence2,Bullish Divergence2,Bearish Divergence2,Bullish Divergence2
1675227300,39.87,39.87,39.85,39.85,1694,522.4,45.09045018135138,-0.016290423297910486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675227600,39.85,39.87,39.85,39.87,480,546.15,51.30615103744151,-0.014915472661162412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675227900,39.87,39.87,39.85,39.85,3494,720,45.73121778946997,-0.013668252019864938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675228200,39.85,39.86,39.85,39.86,176,721.7,48.73093504231777,-0.013535977192821968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675228500,39.85,39.86,39.85,39.86,827,748.5,48.73093504231777,-0.012277443436026991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675228800,39.85,39.86,39.85,39.85,659,717.75,45.795182754179706,-0.01215218203470083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675229100,39.85,39.87,39.85,39.87,2219,782.35,52.02079908938194,-0.010914888330601263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675229400,39.86,39.87,39.85,39.87,1582,840.15,52.02079908938194,-0.00781978688491649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675229700,39.86,39.86,39.85,39.85,332,834.9,45.905986390590556,-0.007307032852436896,NaN,-0.007307032852436896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675230000,39.86,39.86,39.83,39.86,3658,986.85,49.12599306767675,-0.007822670616670377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675230300,39.86,39.86,39.84,39.84,521,1011.25,43.54330189486758,-0.00913827335220864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675230600,39.85,39.86,39.84,39.84,1207,1054.75,43.54330189486758,-0.012066403519301824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675230900,39.84,39.85,39.84,39.84,224,1013.5,43.54330189486758,-0.01422325631402626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675231200,39.84,39.85,39.84,39.85,2075,1098.55,47.28437082339281,-0.014750327627477959,-0.014750327627477959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675231500,39.84,39.85,39.84,39.85,686,1117.2,47.28437082339281,-0.01399439653490977,NaN,-0.01399439653490977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675231800,39.85,39.85,39.84,39.84,1322,1160.95,43.9098540171789,-0.0142435585245431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675232100,39.85,39.86,39.84,39.84,1205,1202.15,43.9098540171789,-0.015277401566609582,-0.015277401566609582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675232400,39.85,39.87,39.85,39.85,863,1219.6,48.197455751573045,-0.014912445103649474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675232700,39.85,39.86,39.85,39.86,1611,1250.6,52.13755726092334,-0.012454749427799214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675233000,39.86,39.92,39.86,39.91,2907,1387.1,66.04426081947557,-0.004382560816692912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675233300,39.86,39.92,39.84,39.88,3063,1455.55,55.604810413425895,0.003992922156934335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675233600,39.87,39.91,39.86,39.88,1993,1531.2,55.604810413425895,0.007506650324377967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675233900,39.88,39.88,39.86,39.87,402,1376.6,52.40264423839431,0.00917329191469216,NaN,0.00917329191469216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675234200,39.87,39.88,39.86,39.86,3277,1531.65,49.34253027239051,0.008373401899274947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675234500,39.87,39.9,39.87,39.87,1479,1564.25,52.33979425627107,0.007651285654757095,0.007651285654757095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675234800,39.88,39.89,39.87,39.89,904,1576.5,57.72695255906585,0.009999765864725757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675235100,39.87,39.88,39.86,39.86,2774,1604.25,48.81395541568767,0.010725284170888714,NaN,0.010725284170888714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675235400,39.87,39.87,39.85,39.85,1045,1577.4,46.250504316367035,0.007169557212674515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675235700,39.85,39.86,39.84,39.84,1878,1654.7,43.77484792613754,0.0023008310703668596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675236000,39.84,39.86,39.84,39.85,2510,1597.3,46.83927621224782,-0.0015400949898942955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675236300,39.85,39.87,39.84,39.85,4555,1799,46.83927621224782,-0.003531356452786367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675236600,39.86,39.86,39.84,39.84,2428,1860.05,44.0545713668063,-0.006052035756572979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675236900,39.84,39.85,39.84,39.85,1281,1912.9,47.42097514598522,-0.007958043281610604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675237200,39.84,39.85,39.82,39.82,3784,1998.35,39.702591025371774,-0.011362559464549924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675237500,39.83,39.84,39.82,39.82,4022,2165.15,39.702591025371774,-0.01690341653232128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675237800,39.82,39.83,39.81,39.81,2395,2218.8,37.35230139130705,-0.022053765892463204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675238100,39.81,39.86,39.81,39.83,6116,2464.35,44.43673264347532,-0.024837071157653712,-0.024837071157653712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675238400,39.83,39.86,39.83,39.83,1336,2488,44.43673264347531,-0.02473274408494235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675238700,39.86,39.86,39.82,39.85,1833,2499.1,50.878969715350095,-0.022366840208345194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675239000,39.85,39.87,39.84,39.87,1233,2415.4,56.33154238739202,-0.016253772363760573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675239300,39.84,39.87,39.84,39.85,2954,2409.95,50.316618631295775,-0.011279138338589675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675239600,39.86,39.86,39.83,39.83,2675,2444.05,45.12738380486927,-0.01125741128366959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675239900,39.85,39.86,39.82,39.85,2112,2529.55,50.612588327353734,-0.011112093400633065,NaN,-0.011112093400633065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675240200,39.85,39.86,39.8,39.82,8859,2808.65,43.576023439279105,-0.01187278018113119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675240500,39.82,39.84,39.8,39.84,2101,2839.75,48.696845049242036,-0.013334569226958894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675240800,39.84,39.84,39.81,39.82,3511,2970.1,44.361107188381595,-0.014328085357086795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675241100,39.81,39.84,39.81,39.83,3866,3024.7,46.906519136651504,-0.01594445807296228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675241400,39.84,39.84,39.81,39.83,5339,3239.4,46.906519136651504,-0.016028059739981435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675241700,39.83,39.84,39.8,39.82,6560,3473.5,44.54315861753525,-0.016912266664332577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675242000,39.82,39.85,39.82,39.83,1717,3433.85,47.39738731978349,-0.017412364650283854,-0.017412364650283854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675242300,39.82,39.84,39.82,39.83,2455,3328.85,47.39738731978349,-0.0166044993549564,NaN,NaN,NaN,-0.0166044993549564,NaN,NaN,NaN,NaN,NaN,NaN
1675242600,39.83,39.84,39.81,39.84,3286,3371.75,50.3603856357934,-0.014781010659517703,NaN,-0.014781010659517703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675242900,39.82,39.82,39.8,39.8,3734,3494.4,40.52681506935723,-0.016188055015986823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675243200,39.8,39.81,39.8,39.81,4831,3546.75,43.49722677509336,-0.020110303336244306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675243500,39.8,39.84,39.8,39.81,4311,3561.2,43.49722677509336,-0.021953122437029852,-0.021953122437029852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675243800,39.82,39.84,39.81,39.84,3863,3634.6,51.862327265749215,-0.020142321863279137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675244100,39.83,39.88,39.83,39.83,5298,3593.7,49.24517773705137,-0.016491001674868902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675244400,39.83,39.87,39.83,39.84,1560,3604.9,51.861285943106644,-0.013442399636781064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675244700,39.86,39.89,39.83,39.85,4359,3731.2,54.392889145414735,-0.008897893944022909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675245000,39.87,39.87,39.85,39.85,759,3707.5,54.392889145414735,-0.004234746472827723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675245300,39.85,39.87,39.85,39.87,1387,3629.15,59.35134747387581,0.001469172374390994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675245600,39.87,39.87,39.82,39.83,2169,3603.85,48.09014279260491,0.003918753677486385,NaN,0.003918753677486385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675245900,39.83,39.85,39.8,39.82,4330,3714.75,45.752931958396104,0.0007871464834136638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675246200,39.83,39.84,39.81,39.84,4224,3483,50.89333255795156,-0.0006741570442900902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675246500,39.81,39.85,39.81,39.83,3534,3554.65,48.422612181529004,-0.0008101536302531292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675246800,39.82,39.84,39.81,39.83,3399,3549.05,48.422612181529004,-0.0019087425888665423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675247100,39.82,39.83,39.8,39.82,3178,3514.65,45.84158994713989,-0.003749058049114751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675247400,39.83,39.85,39.81,39.83,4076,3451.5,48.78163461863928,-0.005148208701806723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675247700,39.84,39.85,39.81,39.83,4828,3364.9,48.78163461863928,-0.005184438340017474,-0.005184438340017474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675248000,39.84,39.86,39.81,39.85,7597,3658.9,54.50967914795691,-0.0031510838319606387,NaN,-0.0031510838319606387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675248300,39.83,39.84,39.81,39.81,2145,3643.4,43.928349655763014,-0.003524764206521314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675248600,39.82,39.84,39.81,39.81,2501,3604.15,43.92834965576302,-0.007782886649394576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675248900,39.81,39.83,39.81,39.82,1650,3499.95,46.91606421184006,-0.01002915182132043,-0.01002915182132043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675249200,39.83,39.83,39.82,39.83,1808,3348.8,49.79685282011239,-0.00967192103552136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675249500,39.82,39.83,39.82,39.83,2445,3255.5,49.7968528201124,-0.00828034767745402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675249800,39.82,39.83,39.8,39.82,4138,3269.25,46.848283606329694,-0.00809719634875479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675250100,39.82,39.84,39.81,39.83,2748,3141.75,50.03442471557614,-0.007861426151940666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675250400,39.82,39.84,39.81,39.82,2908,3209.15,47.000302639192164,-0.007587130239433377,NaN,-0.007587130239433377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675250700,39.81,39.83,39.81,39.82,2562,3119.3,47.000302639192164,-0.008287273074383355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675251000,39.83,39.83,39.82,39.82,3263,3244.5,47.000302639192164,-0.008741413555783766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675251300,39.83,39.84,39.82,39.82,3166,3333.45,47.000302639192164,-0.008997633978324085,-0.008997633978324085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675251600,39.83,39.84,39.81,39.84,4737,3461.85,54.43354232324724,-0.007092782385812456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675251900,39.83,39.84,39.83,39.84,2003,3345.5,54.43354232324724,-0.003516541674908766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675252200,39.83,39.84,39.82,39.82,2511,3259.85,46.81820910981251,-0.002677572403653218,NaN,-0.002677572403653218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675252500,39.84,39.84,39.8,39.8,2750,3220.65,40.68802391443536,-0.005995798732555875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675252800,39.8,39.83,39.8,39.83,4587,3280.05,51.04300860448856,-0.007525731677127464,-0.007525731677127464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675253100,39.82,39.83,39.82,39.83,2546,3248.45,51.04300860448856,-0.005634040348539784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675253400,39.82,39.84,39.8,39.83,3763,3232.8,51.04300860448856,-0.004087754846507096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675253700,39.81,39.84,39.81,39.82,2188,3100.8,47.58437740887862,-0.003831221849155861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675254000,39.82,39.84,39.81,39.84,4129,2927.4,54.25982633786621,-0.002585075368866014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675254300,39.84,39.86,39.81,39.82,5585,3099.4,47.71551399674353,-0.0015792689834590798,NaN,-0.0015792689834590798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675254600,39.82,39.85,39.8,39.83,6617,3305.2,50.90401311558768,-0.0017747526401391855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675254900,39.81,39.89,39.8,39.82,7379,3591.65,47.76693375269294,-0.0019076917263570893,-0.0019076917263570893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1675255200,39.83,39.89,39.82,39.84,4746,3738.55,53.887689464197685,-0.0009886226591742965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
